product_id,fit,product_name,product_price,color_name,style_id,color_id,scrapy_datetime,cotton,polyester,spandex,lyocell,rayon
0985159001,skinny_fit,skinny_jeans,24.99,black,0985159,001,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
0985159002,skinny_fit,skinny_jeans,24.99,denim_blue,0985159,002,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
0985159003,skinny_fit,skinny_jeans,11.99,dark_gray,0985159,003,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
0985159004,skinny_fit,skinny_jeans,12.99,light_denim_blue,0985159,004,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
0985159005,skinny_fit,skinny_jeans,24.99,dark_blue,0985159,005,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
0985159006,skinny_fit,skinny_jeans,24.99,dark_denim_blue,0985159,006,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
0985159007,skinny_fit,skinny_jeans,24.99,denim_blue,0985159,007,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
0985159008,skinny_fit,skinny_jeans,24.99,dark_gray,0985159,008,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
1024256001,slim_fit,slim_jeans,19.99,black,1024256,001,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
1024256002,slim_fit,slim_jeans,19.99,light_denim_blue,1024256,002,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
1024256003,slim_fit,slim_jeans,19.99,light_denim_blue,1024256,003,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
1024256004,slim_fit,slim_jeans,19.99,denim_blue,1024256,004,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
1024256005,slim_fit,slim_jeans,19.99,dark_blue,1024256,005,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
1024256006,slim_fit,slim_jeans,19.99,dark_denim_blue,1024256,006,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
1024256007,slim_fit,slim_jeans,19.99,dark_gray,1024256,007,2022-09-29 18:07:25,0.99,0.0,0.01,0.0,0.0
